,battery_level_pct,local_dt,metadata_write_ts,ts
96,100,2016-06-30 01:21:44.691,1467274904.69,1467274904.69
97,100,2016-06-30 01:21:53.675,1467274913.67,1467274913.67
98,100,2016-06-30 01:21:53.688,1467274913.69,1467274913.69
99,100,2016-06-30 01:22:09.649,1467274929.65,1467274929.65
100,100,2016-06-30 01:22:09.807,1467274929.81,1467274929.81
101,100,2016-06-30 01:22:09.975,1467274929.97,1467274929.97
102,100,2016-06-30 01:22:09.995,1467274929.99,1467274929.99
103,100,2016-06-30 01:22:12.571,1467274932.57,1467274932.57
104,100,2016-06-30 01:22:13.093,1467274933.09,1467274933.09
105,100,2016-06-30 01:22:13.164,1467274933.16,1467274933.16
106,100,2016-06-30 01:22:17.732,1467274937.73,1467274937.73
107,100,2016-06-30 01:22:18.332,1467274938.33,1467274938.33
108,100,2016-06-30 01:22:20.024,1467274940.02,1467274940.02
109,100,2016-06-30 01:22:24.671,1467274944.67,1467274944.67
110,100,2016-06-30 01:22:24.672,1467274944.67,1467274944.67
111,100,2016-06-30 01:22:25.440,1467274945.44,1467274945.44
112,100,2016-06-30 01:22:26.265,1467274946.27,1467274946.27
113,100,2016-06-30 01:22:33.683,1467274953.68,1467274953.68
114,100,2016-06-30 01:22:33.684,1467274953.68,1467274953.68
115,100,2016-06-30 01:22:50.681,1467274970.68,1467274970.68
116,100,2016-06-30 01:22:50.719,1467274970.72,1467274970.72
117,100,2016-06-30 01:22:50.815,1467274970.82,1467274970.82
118,100,2016-06-30 01:22:50.841,1467274970.84,1467274970.84
119,100,2016-06-30 01:22:53.399,1467274973.4,1467274973.4
120,100,2016-06-30 01:22:54.056,1467274974.06,1467274974.06
121,100,2016-06-30 01:22:54.066,1467274974.07,1467274974.07
122,100,2016-06-30 01:22:58.567,1467274978.57,1467274978.57
123,100,2016-06-30 01:22:59.233,1467274979.23,1467274979.23
124,100,2016-06-30 01:23:00.900,1467274980.9,1467274980.9
125,100,2016-06-30 01:23:05.703,1467274985.7,1467274985.7
126,100,2016-06-30 01:23:05.869,1467274985.87,1467274985.87
127,100,2016-06-30 01:23:14.686,1467274994.69,1467274994.69
128,100,2016-06-30 01:23:14.687,1467274994.69,1467274994.69
129,100,2016-06-30 01:23:31.673,1467275011.67,1467275011.67
130,100,2016-06-30 01:23:31.676,1467275011.68,1467275011.68
131,100,2016-06-30 01:23:31.821,1467275011.82,1467275011.82
132,100,2016-06-30 01:23:31.873,1467275011.87,1467275011.87
133,100,2016-06-30 01:23:34.372,1467275014.37,1467275014.37
134,100,2016-06-30 01:23:35.102,1467275015.1,1467275015.1
135,100,2016-06-30 01:23:35.116,1467275015.12,1467275015.12
136,100,2016-06-30 01:23:39.552,1467275019.55,1467275019.55
137,100,2016-06-30 01:23:40.412,1467275020.41,1467275020.41
138,100,2016-06-30 01:23:41.886,1467275021.89,1467275021.89
139,100,2016-06-30 01:23:46.691,1467275026.69,1467275026.69
140,100,2016-06-30 01:23:46.692,1467275026.69,1467275026.69
141,100,2016-06-30 01:23:47.645,1467275027.64,1467275027.64
142,100,2016-06-30 01:23:48.492,1467275028.49,1467275028.49
143,100,2016-06-30 01:23:54.684,1467275034.68,1467275034.68
144,100,2016-06-30 01:23:54.686,1467275034.69,1467275034.69
145,100,2016-06-30 01:24:10.702,1467275050.7,1467275050.7
146,100,2016-06-30 01:24:10.869,1467275050.87,1467275050.87
147,100,2016-06-30 01:24:11.293,1467275051.29,1467275051.29
148,100,2016-06-30 01:24:11.294,1467275051.29,1467275051.29
149,100,2016-06-30 01:24:11.437,1467275051.44,1467275051.44
150,100,2016-06-30 01:24:11.462,1467275051.46,1467275051.46
151,100,2016-06-30 01:24:24.631,1467275064.63,1467275064.63
152,100,2016-06-30 01:24:25.449,1467275065.45,1467275065.45
153,100,2016-06-30 01:28:18.656,1467275298.66,1467275298.66
154,100,2016-06-30 01:28:18.662,1467275298.66,1467275298.66
155,100,2016-06-30 01:28:18.674,1467275298.67,1467275298.67
156,100,2016-06-30 01:31:16.716,1467275476.72,1467275476.72
157,100,2016-06-30 01:31:17.613,1467275477.61,1467275477.61
158,100,2016-06-30 01:31:17.616,1467275477.62,1467275477.62
159,100,2016-06-30 01:31:17.654,1467275477.65,1467275477.65
160,100,2016-06-30 01:31:17.655,1467275477.65,1467275477.65
161,100,2016-06-30 01:31:17.740,1467275477.74,1467275477.74
162,100,2016-06-30 01:32:42.794,1467275562.79,1467275562.79
163,100,2016-06-30 01:32:42.967,1467275562.97,1467275562.97
164,100,2016-06-30 01:32:42.983,1467275562.98,1467275562.98
165,100,2016-06-30 01:32:42.990,1467275562.99,1467275562.99
166,100,2016-06-30 01:32:42.998,1467275563.0,1467275563.0
167,100,2016-06-30 01:32:43.122,1467275563.12,1467275563.12
168,100,2016-06-30 01:32:43.128,1467275563.13,1467275563.13
169,100,2016-06-30 01:32:43.228,1467275563.23,1467275563.23
170,100,2016-06-30 01:32:43.234,1467275563.23,1467275563.23
171,100,2016-06-30 01:32:43.290,1467275563.29,1467275563.29
172,100,2016-06-30 01:32:43.303,1467275563.3,1467275563.3
173,100,2016-06-30 01:32:43.397,1467275563.4,1467275563.4
174,100,2016-06-30 01:38:19.629,1467275899.63,1467275899.63
175,100,2016-06-30 01:38:19.635,1467275899.63,1467275899.63
176,100,2016-06-30 01:38:19.641,1467275899.64,1467275899.64
177,100,2016-06-30 01:38:43.639,1467275923.64,1467275923.64
178,100,2016-06-30 01:38:43.812,1467275923.81,1467275923.81
179,100,2016-06-30 01:43:50.283,1467276230.28,1467276230.28
180,100,2016-06-30 01:43:52.154,1467276232.15,1467276232.15
181,100,2016-06-30 01:48:19.676,1467276499.68,1467276499.68
182,100,2016-06-30 01:48:19.679,1467276499.68,1467276499.68
183,100,2016-06-30 01:48:19.688,1467276499.69,1467276499.69
184,100,2016-06-30 01:48:23.693,1467276503.69,1467276503.69
185,100,2016-06-30 01:48:23.938,1467276503.94,1467276503.94
186,100,2016-06-30 01:54:24.644,1467276864.64,1467276864.64
187,100,2016-06-30 01:54:24.773,1467276864.77,1467276864.77
188,100,2016-06-30 01:58:19.645,1467277099.64,1467277099.64
189,100,2016-06-30 01:58:19.652,1467277099.65,1467277099.65
190,100,2016-06-30 01:58:19.658,1467277099.66,1467277099.66
191,100,2016-06-30 01:58:20.679,1467277100.68,1467277100.68
192,100,2016-06-30 01:59:17.693,1467277157.69,1467277157.69
193,100,2016-06-30 01:59:17.890,1467277157.89,1467277157.89
194,100,2016-06-30 01:59:18.062,1467277158.06,1467277158.06
195,100,2016-06-30 01:59:18.083,1467277158.08,1467277158.08
196,100,2016-06-30 01:59:18.234,1467277158.23,1467277158.23
197,100,2016-06-30 01:59:18.250,1467277158.25,1467277158.25
198,100,2016-06-30 02:00:25.720,1467277225.72,1467277225.72
199,100,2016-06-30 02:00:25.896,1467277225.9,1467277225.9
200,100,2016-06-30 02:02:56.648,1467277376.65,1467277376.65
201,100,2016-06-30 02:02:56.733,1467277376.73,1467277376.73
202,100,2016-06-30 02:02:56.820,1467277376.82,1467277376.82
203,100,2016-06-30 02:02:56.850,1467277376.85,1467277376.85
204,100,2016-06-30 02:03:42.738,1467277422.74,1467277422.74
205,100,2016-06-30 02:03:42.853,1467277422.85,1467277422.85
206,100,2016-06-30 02:03:57.682,1467277437.68,1467277437.68
207,100,2016-06-30 02:03:58.369,1467277438.37,1467277438.37
208,100,2016-06-30 02:05:12.814,1467277512.81,1467277512.81
209,100,2016-06-30 02:05:14.732,1467277514.73,1467277514.73
210,100,2016-06-30 02:08:18.685,1467277698.68,1467277698.68
211,100,2016-06-30 02:08:18.705,1467277698.7,1467277698.7
212,100,2016-06-30 02:10:39.719,1467277839.72,1467277839.72
213,100,2016-06-30 02:10:39.864,1467277839.86,1467277839.86
214,100,2016-06-30 02:13:50.490,1467278030.49,1467278030.49
215,100,2016-06-30 02:13:52.388,1467278032.39,1467278032.39
216,100,2016-06-30 02:15:02.705,1467278102.7,1467278102.7
217,100,2016-06-30 02:15:02.855,1467278102.86,1467278102.86
218,100,2016-06-30 02:16:40.654,1467278200.65,1467278200.65
219,100,2016-06-30 02:16:40.802,1467278200.8,1467278200.8
220,100,2016-06-30 02:18:19.695,1467278299.69,1467278299.69
221,100,2016-06-30 02:18:19.720,1467278299.72,1467278299.72
222,100,2016-06-30 02:22:41.728,1467278561.73,1467278561.73
223,100,2016-06-30 02:22:41.901,1467278561.9,1467278561.9
224,100,2016-06-30 02:27:19.674,1467278839.67,1467278839.67
225,100,2016-06-30 02:27:29.730,1467278849.73,1467278849.73
226,100,2016-06-30 02:27:31.817,1467278851.82,1467278851.82
227,100,2016-06-30 02:28:18.742,1467278898.74,1467278898.74
228,100,2016-06-30 02:28:18.770,1467278898.77,1467278898.77
229,100,2016-06-30 02:28:42.666,1467278922.67,1467278922.67
230,100,2016-06-30 02:28:53.493,1467278933.49,1467278933.49
231,100,2016-06-30 02:28:54.049,1467278934.05,1467278934.05
232,100,2016-06-30 02:29:04.855,1467278944.86,1467278944.86
233,100,2016-06-30 02:29:23.355,1467278963.36,1467278963.36
234,100,2016-06-30 02:29:23.726,1467278963.73,1467278963.73
235,100,2016-06-30 02:29:23.727,1467278963.73,1467278963.73
236,100,2016-06-30 02:29:23.865,1467278963.87,1467278963.87
237,100,2016-06-30 02:29:23.876,1467278963.88,1467278963.88
238,100,2016-06-30 02:29:23.877,1467278963.88,1467278963.88
239,100,2016-06-30 02:29:23.919,1467278963.92,1467278963.92
240,100,2016-06-30 02:29:25.049,1467278965.05,1467278965.05
241,100,2016-06-30 02:31:29.978,1467279089.98,1467279089.98
242,100,2016-06-30 02:31:30.050,1467279090.05,1467279090.05
243,100,2016-06-30 02:31:32.917,1467279092.92,1467279092.92
244,100,2016-06-30 02:31:33.832,1467279093.83,1467279093.83
245,100,2016-06-30 02:32:44.375,1467279164.38,1467279164.38
246,100,2016-06-30 02:32:44.450,1467279164.45,1467279164.45
247,100,2016-06-30 02:33:25.365,1467279205.37,1467279205.37
248,100,2016-06-30 02:33:25.438,1467279205.44,1467279205.44
249,100,2016-06-30 02:34:43.660,1467279283.66,1467279283.66
250,100,2016-06-30 02:34:43.665,1467279283.66,1467279283.66
251,100,2016-06-30 02:38:19.667,1467279499.67,1467279499.67
252,99,2016-06-30 02:38:19.676,1467279499.68,1467279499.68
253,99,2016-06-30 02:38:19.692,1467279499.69,1467279499.69
254,99,2016-06-30 02:38:19.717,1467279499.72,1467279499.72
255,99,2016-06-30 02:40:44.740,1467279644.74,1467279644.74
256,99,2016-06-30 02:40:44.744,1467279644.74,1467279644.74
257,99,2016-06-30 02:43:50.995,1467279830.99,1467279830.99
258,99,2016-06-30 02:43:52.874,1467279832.87,1467279832.87
259,99,2016-06-30 02:46:46.717,1467280006.72,1467280006.72
260,99,2016-06-30 02:46:46.720,1467280006.72,1467280006.72
261,99,2016-06-30 02:48:19.701,1467280099.7,1467280099.7
262,99,2016-06-30 02:48:19.729,1467280099.73,1467280099.73
263,99,2016-06-30 02:52:47.717,1467280367.72,1467280367.72
264,99,2016-06-30 02:52:47.721,1467280367.72,1467280367.72
265,99,2016-06-30 02:55:21.717,1467280521.72,1467280521.72
266,99,2016-06-30 02:55:21.738,1467280521.74,1467280521.74
267,99,2016-06-30 02:55:21.739,1467280521.74,1467280521.74
268,99,2016-06-30 02:55:21.846,1467280521.85,1467280521.85
269,99,2016-06-30 02:55:22.236,1467280522.24,1467280522.24
270,99,2016-06-30 02:55:22.250,1467280522.25,1467280522.25
271,99,2016-06-30 02:55:22.251,1467280522.25,1467280522.25
272,99,2016-06-30 02:55:22.376,1467280522.38,1467280522.38
273,99,2016-06-30 02:58:19.748,1467280699.75,1467280699.75
274,99,2016-06-30 02:58:19.784,1467280699.78,1467280699.78
275,99,2016-06-30 03:00:00.712,1467280800.71,1467280800.71
276,99,2016-06-30 03:00:00.767,1467280800.77,1467280800.77
277,99,2016-06-30 03:02:56.729,1467280976.73,1467280976.73
278,99,2016-06-30 03:02:56.747,1467280976.75,1467280976.75
279,99,2016-06-30 03:02:56.748,1467280976.75,1467280976.75
280,99,2016-06-30 03:02:56.749,1467280976.75,1467280976.75
281,99,2016-06-30 03:06:01.725,1467281161.72,1467281161.72
282,99,2016-06-30 03:06:01.728,1467281161.73,1467281161.73
283,99,2016-06-30 03:08:19.724,1467281299.72,1467281299.72
284,99,2016-06-30 03:08:19.756,1467281299.76,1467281299.76
285,99,2016-06-30 03:12:02.726,1467281522.73,1467281522.73
286,99,2016-06-30 03:12:02.745,1467281522.74,1467281522.74
287,99,2016-06-30 03:13:51.952,1467281631.95,1467281631.95
288,99,2016-06-30 03:13:53.872,1467281633.87,1467281633.87
289,99,2016-06-30 03:18:04.752,1467281884.75,1467281884.75
290,99,2016-06-30 03:18:04.756,1467281884.76,1467281884.76
291,99,2016-06-30 03:18:18.756,1467281898.76,1467281898.76
292,99,2016-06-30 03:18:18.787,1467281898.79,1467281898.79
293,99,2016-06-30 03:22:03.711,1467282123.71,1467282123.71
294,99,2016-06-30 03:22:03.988,1467282123.99,1467282123.99
295,99,2016-06-30 03:22:04.003,1467282124.0,1467282124.0
296,99,2016-06-30 03:22:04.120,1467282124.12,1467282124.12
297,99,2016-06-30 03:22:04.164,1467282124.16,1467282124.16
298,99,2016-06-30 03:22:05.772,1467282125.77,1467282125.77
299,99,2016-06-30 03:22:09.622,1467282129.62,1467282129.62
300,99,2016-06-30 03:22:09.625,1467282129.62,1467282129.62
301,99,2016-06-30 03:22:09.673,1467282129.67,1467282129.67
302,99,2016-06-30 03:22:09.682,1467282129.68,1467282129.68
303,99,2016-06-30 03:22:09.956,1467282129.96,1467282129.96
304,99,2016-06-30 03:23:05.710,1467282185.71,1467282185.71
305,99,2016-06-30 03:23:06.009,1467282186.01,1467282186.01
306,99,2016-06-30 03:23:10.129,1467282190.13,1467282190.13
307,99,2016-06-30 03:23:10.893,1467282190.89,1467282190.89
