ts,battery_level_pct
1467099071,100
1467099071,100
1467099071,100
1467099071,100
1467099071,100
1467099077,100
1467099077,100
1467099077,100
1467099078,100
1467099078,100
1467099078,100
1467099078,100
1467099079,100
1467099086,100
1467099091,100
1467099092,100
1467099092,100
1467099092,100
1467099092,100
1467099092,100
1467099092,100
1467099092,100
1467099092,100
1467099093,100
1467099144,100
1467099146,100
1467099146,100
1467099146,100
1467099146,100
1467099147,100
1467099386,100
1467099386,100
1467099387,100
1467099431,100
1467099432,100
1467099432,100
1467099432,100
1467099434,100
1467099672,100
1467099672,100
1467099672,100
1467099734,100
1467099735,100
1467099735,100
1467099735,100
1467099736,100
1467099778,100
1467099780,100
1467099796,100
1467099797,100
1467100268,100
1467100268,100
1467100272,100
1467100272,100
1467100359,100
1467100360,100
1467100479,100
1467100481,100
1467100661,100
1467100662,100
1467100826,100
1467100829,100
1467100829,100
1467100829,100
1467100829,100
1467100829,100
1467100865,100
1467100865,100
1467100871,100
1467100871,100
1467100930,100
1467100931,100
1467100932,100
1467100977,100
1467101069,100
1467101171,100
1467101171,100
1467101171,100
1467101172,100
1467101472,100
1467101472,100
1467101536,100
1467101537,100
1467101538,100
1467101578,100
1467101580,100
1467101597,100
1467101598,100
1467101772,100
1467101772,100
1467101863,100
1467101864,100
1467102071,100
1467102071,100
1467102507,100
1467102508,100
1467102508,100
1467102508,100
1467102508,100
1467102508,100
1467102672,100
1467102672,100
1467102672,100
1467103033,100
1467103034,100
1467103272,100
1467103272,100
1467103272,100
1467103338,100
1467103339,100
1467103340,100
1467103340,100
1467103379,100
1467103381,100
1467103399,100
1467103402,100
1467103641,100
1467103642,100
1467103642,100
1467103642,100
1467103642,100
1467103642,100
1467103642,100
1467103644,100
1467103645,100
1467103646,100
1467103646,100
1467103646,100
1467103649,100
1467103650,100
1467103651,100
1467103651,100
1467103652,100
1467103652,100
1467103653,100
1467103654,100
1467103654,100
1467103655,100
1467103655,100
1467103656,100
1467103656,100
1467103657,100
1467103657,100
1467103658,100
1467103658,100
1467103659,100
1467103659,100
1467103660,100
1467103660,100
1467103661,100
1467103661,100
1467103662,100
1467103662,100
1467103663,100
1467103663,100
1467103664,100
1467103664,100
1467103664,100
1467103665,100
1467103665,100
1467103666,100
1467103666,100
1467103667,100
1467103667,100
1467103668,100
1467103668,100
1467103669,100
1467103669,100
1467103670,100
1467103670,100
1467103671,100
1467103671,100
1467103672,100
1467103672,100
1467103673,100
1467103673,100
1467103673,100
1467103674,100
1467103674,100
1467103674,100
1467103675,100
1467103751,100
1467103752,100
1467103871,100
1467103871,100
1467103914,100
1467103914,100
1467104188,100
1467104188,100
1467104188,100
1467104189,100
1467104189,100
1467104189,100
1467104472,100
1467104472,100
