regime,stat,drain,start,end
nd,drop_overall,0,1448435670,1448463933
nd,time_active_overall,2,1448435670,1448463933
nd,drop_overall,0,1448465466,1448467522
nd,time_active_overall,0,1448465466,1448467522
nd,drop_overall,0,1448467522,1448469306
nd,time_active_overall,1,1448467522,1448469306
nd,drop_overall,0,1448469306,1448471434
nd,time_active_overall,2,1448469306,1448471434
nd,drop_overall,0,1448471434,1448473189
nd,time_active_overall,4,1448471434,1448473189
nd,drop_overall,0,1448473189,1448474715
nd,time_active_overall,4,1448473189,1448474715
nd,drop_overall,0,1448474715,1448476697
nd,time_active_overall,7,1448474715,1448476697
nd,drop_overall,0,1448476697,1448478300
nd,time_active_overall,7,1448476697,1448478300
nd,drop_overall,0,1448478300,1448480080
nd,time_active_overall,8,1448478300,1448480080
nd,drop_overall,0,1448480080,1448481884
nd,time_active_overall,8,1448480080,1448481884
nd,drop_overall,0,1448481884,1448483620
nd,time_active_overall,9,1448481884,1448483620
nd,drop_overall,0,1448483620,1448485631
nd,time_active_overall,9,1448483620,1448485631
nd,drop_overall,0,1448485631,1448487439
nd,time_active_overall,12,1448485631,1448487439
nd,drop_overall,0,1448485631,1448487439
nd,time_active_overall,14,1448485631,1448487439
nd,drop_overall,0,1448487439,1448489095
nd,time_active_overall,14,1448487439,1448489095
nd,drop_overall,0,1448489095,1448492619
nd,time_active_overall,14,1448489095,1448492619
nd,drop_overall,0,1448492619,1448496468
nd,time_active_overall,16,1448492619,1448496468
nd,drop_overall,0,1448496468,1448499916
nd,time_active_overall,17,1448496468,1448499916
nd,drop_overall,0,1448499916,1448501714
nd,time_active_overall,17,1448499916,1448501714
nd,drop_overall,0,1448501714,1448503608
nd,time_active_overall,18,1448501714,1448503608
nd,drop_overall,0,1448501714,1448503608
nd,time_active_overall,19,1448501714,1448503608
nd,drop_overall,0,1448501714,1448503608
nd,time_active_overall,20,1448501714,1448503608
nd,drop_overall,4,1448503608,1448551926
nd,time_active_overall,25,1448503608,1448551926
