state,nd,nohafs,nomafs,nomass,geofenced
active,-0.524340,-4.87566,-1.05426,-0.795273,-0.77985
moving,-0.49800,-5.47260,-2.41247,-1.61674,
passive,-0.373357,-4.75929,-0.40174,-0.43837,-0.510267
