key,ts,value
battery_level,1453391344.552,100
battery_level,1453394796.983,97
battery_level,1453398819.774,93
battery_level,1453400564.737,91
battery_level,1453402236.991,89
battery_level,1453404013.985,87
battery_level,1453407124.455,82
battery_level,1453409693.592,78
battery_level,1453412493.926,74
battery_level,1453414233.000,71
battery_level,1453416075.919,68
battery_level,1453418420.768,65
battery_level,1453425445.334,56
battery_level,1453428525.711,52
battery_level,1453431343.255,47
battery_level,1453434577.249,42
battery_level,1453436949.499,38
battery_level,1453439722.937,33
battery_level,1453477687.436,0
