time,voltage,current
781,3.6974,0.0291273
782,3.69823,0.0283717
783,3.69819,0.0288152
784,3.69818,0.0281043
785,3.69796,0.0287036
786,3.69751,0.0297036
787,3.6982,0.0290453
788,3.69745,0.0296837
789,3.69733,0.0297449
790,3.69786,0.0279792
791,3.69775,0.0289872
792,3.69774,0.0290878
793,3.69772,0.0294708
794,3.69748,0.0298868
795,3.69737,0.0283426
796,3.69767,0.0292652
797,3.69749,0.0297498
798,3.69727,0.0285913
799,3.69726,0.0300911
800,3.69745,0.028718
801,3.69763,0.0286057
802,3.69757,0.0299908
803,3.69751,0.0282325
804,3.69771,0.0295066
805,3.69756,0.0298629
806,3.69766,0.0293114
807,3.69708,0.0299208
808,3.69747,0.0292034
809,3.69732,0.0282111
810,3.69806,0.028149
811,3.69768,0.030249
812,3.69816,0.031382
813,3.6977,0.0301597
814,3.6974,0.0297311
815,3.69806,0.0293652
816,3.69731,0.0334064
817,3.69753,0.0298036
818,3.69815,0.0283634
819,3.69809,0.0307115
820,3.69813,0.0319507
821,3.69756,0.0321932
822,3.69733,0.0327546
823,3.69734,0.031234
824,3.69757,0.0286886
825,3.69824,0.0324248
826,3.69828,0.0296537
827,3.69761,0.0282475
828,3.69759,0.0292986
829,3.6976,0.0297274
830,3.69818,0.0300547
831,3.69709,0.0285029
832,3.69813,0.0308712
833,3.69742,0.0298424
834,3.69745,0.0290058
835,3.69807,0.0287636
836,3.69809,0.0282325
837,3.6976,0.0281322
838,3.69749,0.0297993
839,3.69811,0.0287042
840,3.69759,0.0287244
841,3.69764,0.0300156
842,3.69718,0.0296864
843,3.69727,0.0296298
844,3.69767,0.0291502
845,3.698,0.0287382
846,3.69758,0.0294179
847,3.69815,0.0287544
848,3.69805,0.0287177
849,3.69755,0.0300425
850,3.69798,0.0295292
851,3.69768,0.0290021
852,3.69716,0.0280707
853,3.69811,0.0282983
854,3.69755,0.0296008
855,3.69748,0.0289664
856,3.69806,0.0290471
857,3.69732,0.028628
858,3.69791,0.0291199
859,3.69821,0.0283931
860,3.69753,0.0282313
861,3.69755,0.0298691
862,3.6974,0.0294359
863,3.69768,0.0298308
864,3.69783,0.0292414
865,3.69757,0.0295035
866,3.69758,0.0293249
867,3.69747,0.0527992
868,3.69807,0.0296736
869,3.69773,0.029409
870,3.69759,0.0284968
871,3.69751,0.0298917
872,3.69775,0.0299391
873,3.69735,0.0296357
874,3.69754,0.0296803
875,3.69773,0.029
876,3.69814,0.0288874
877,3.6975,0.0297149
878,3.69763,0.0289529
879,3.69815,0.0285396
880,3.69757,0.0289728
881,3.69702,0.0288
882,3.69805,0.0285454
883,3.69723,0.0295347
884,3.69722,0.0283472
885,3.69771,0.029119
886,3.69769,0.0291701
887,3.69765,0.0288024
888,3.69747,0.0297201
889,3.69768,0.0290064
890,3.69769,0.028926
891,3.69723,0.0289835
892,3.69739,0.0296534
893,3.69746,0.0290324
894,3.69755,0.0297314
895,3.69807,0.0516368
896,3.69772,0.0281946
897,3.69774,0.0289847
898,3.69739,0.0295999
899,3.69776,0.0294772
900,3.69759,0.0289125
901,3.69763,0.0292086
902,3.69824,0.0296791
903,3.69761,0.0289388
904,3.6981,0.0294448
905,3.69805,0.0284861
906,3.6978,0.0291071
907,3.69812,0.0289315
908,3.69799,0.0295029
909,3.69738,0.0298791
910,3.69766,0.0293812
911,3.69821,0.0302117
912,3.6974,0.0286507
913,3.6974,0.02861
914,3.69815,0.0280921
915,3.69772,0.0301523
916,3.69753,0.0284387
917,3.69759,0.0295647
918,3.69762,0.0291083
919,3.69799,0.0292836
920,3.6977,0.0298008
921,3.69767,0.0290939
922,3.69761,0.0283335
923,3.69795,0.0293509
924,3.69738,0.0290945
925,3.69783,0.0293457
926,3.69803,0.0292255
927,3.6978,0.0290037
928,3.69768,0.0290985
929,3.69813,0.0282818
930,3.69788,0.0282989
931,3.69765,0.0293019
932,3.69735,0.0283524
933,3.69759,0.0288125
934,3.69769,0.0294628
935,3.69767,0.0284846
936,3.69815,0.0293319
937,3.69772,0.0409116
938,3.69762,0.0292983
939,3.69752,0.0285558
940,3.6976,0.0287614
941,3.69738,0.0299865
942,3.69741,0.0292747
943,3.6981,0.0289254
944,3.69767,0.0295864
945,3.69759,0.0297238
946,3.6975,0.0300125
947,3.69741,0.0288397
948,3.69732,0.029625
949,3.69742,0.0289792
950,3.69757,0.0293625
951,3.69765,0.0285271
952,3.69755,0.029977
953,3.69805,0.0282337
954,3.69746,0.0283735
955,3.69801,0.0287452
956,3.69798,0.0284656
957,3.69809,0.0281989
958,3.69796,0.0284442
959,3.69776,0.0296246
960,3.69748,0.0284362
961,3.6974,0.0298856
962,3.69757,0.0284818
963,3.69815,0.0282943
964,3.698,0.0282573
965,3.69789,0.0285825
966,3.69797,0.0290205
967,3.69764,0.0298174
968,3.69755,0.0301
969,3.69744,0.0292799
970,3.69741,0.0298406
971,3.69745,0.029933
972,3.69751,0.0287574
973,3.69748,0.0292297
974,3.69756,0.02955
975,3.69758,0.0281723
976,3.6975,0.0289
977,3.69751,0.0289612
978,3.69824,0.0301098
979,3.69721,0.0292068
980,3.69758,0.0295781
981,3.69766,0.030342
982,3.69723,0.0299079
983,3.69765,0.0287657
984,3.69763,0.0287831
985,3.69811,0.0282659
986,3.69746,0.0290994
987,3.69747,0.028729
988,3.6975,0.0446891
989,3.69748,0.0295017
990,3.69757,0.0293986
991,3.69764,0.0288003
992,3.69755,0.0282322
993,3.6976,0.028956
994,3.6979,0.0283882
995,3.6975,0.029163
996,3.69781,0.0290422
997,3.69764,0.028026
998,3.69811,0.0288617
999,3.69778,0.0301401
1000,3.69742,0.0287241
1001,3.69776,0.0288048
1002,3.69732,0.029729
1003,3.69747,0.0282912
1004,3.69802,0.0285776
1005,3.69811,0.0286369
1006,3.69736,0.0292031
1007,3.69749,0.0301526
1008,3.69763,0.0294405
1009,3.69815,0.029936
1010,3.69761,0.0291309
1011,3.6982,0.0287782
1012,3.69822,0.0281447
1013,3.69807,0.029074
1014,3.69713,0.0285274
1015,3.69739,0.0297565
1016,3.69756,0.0528124
1017,3.69763,0.0300238
1018,3.69771,0.0285314
1019,3.69744,0.0301233
1020,3.69756,0.0294408
1021,3.69757,0.0292646
