time,voltage,current
0,3.69612,0.0280783
1,3.69583,0.0281854
2,3.69584,0.0276883
3,3.69583,0.0281572
4,3.69585,0.0274442
5,3.69639,0.0275243
6,3.69589,0.0278648
7,3.69574,0.0278501
8,3.69584,0.0278734
9,3.6958,0.190423
10,3.69614,0.0490716
11,3.69583,0.0272475
12,3.69574,0.0273231
13,3.6957,0.0266642
14,3.69584,0.0267204
15,3.69584,0.0276231
16,3.69583,0.0264883
17,3.69577,0.0277033
18,3.69572,0.0275531
19,3.69577,0.0273849
20,3.69586,0.0268798
21,3.69576,0.0279076
22,3.69594,0.027502
23,3.6958,0.0281404
24,3.69575,0.0269028
25,3.69591,0.0274381
26,3.69604,0.0272542
27,3.69572,0.0278868
28,3.69591,0.0266045
29,3.69582,0.0273631
30,3.69582,0.027904
31,3.69579,0.0265247
32,3.69579,0.0268957
33,3.69607,0.0269474
34,3.69596,0.0280376
35,3.69589,0.0279144
36,3.69591,0.0269419
37,3.69584,0.0274154
38,3.69617,0.0271294
39,3.69594,0.0277421
40,3.69608,0.388395
41,3.69582,0.0509173
42,3.6962,0.0492796
43,3.69589,0.0823805
44,3.69605,0.0485424
45,3.69579,0.0519455
46,3.6964,0.18825
47,3.69597,0.0488994
48,3.69586,0.0274751
49,3.6958,0.0279358
50,3.69576,0.0278367
51,3.69583,0.0272417
52,3.6958,0.0276403
53,3.69578,0.0280288
54,3.69586,0.0277219
55,3.69579,0.0273488
56,3.69589,0.0265996
57,3.69607,0.0266908
58,3.69591,0.0265595
59,3.69578,0.0266911
60,3.69616,0.0264537
61,3.69605,0.0275078
62,3.69573,0.0266476
63,3.69623,0.0269771
64,3.6961,0.0269208
65,3.69609,0.0274424
66,3.69579,0.0268446
67,3.69618,0.0272362
68,3.69606,0.0267149
69,3.69566,0.0269104
70,3.69649,0.201941
71,3.69583,0.0377363
72,3.69591,0.0272879
73,3.69588,0.0277382
74,3.69569,0.0279156
75,3.69602,0.027588
76,3.69577,0.027606
77,3.69565,0.0272845
78,3.69587,0.0278033
79,3.69583,0.0271255
80,3.69602,0.0274922
81,3.69588,0.0280144
82,3.69587,0.027587
83,3.69604,0.0280538
84,3.6959,0.0278198
85,3.69598,0.0271123
86,3.69602,0.0267728
87,3.69584,0.0270474
88,3.69573,0.0273582
89,3.69614,0.0279835
90,3.69585,0.0279529
91,3.69574,0.0270465
92,3.69594,0.0274084
93,3.69627,0.0273307
94,3.69584,0.0285053
95,3.69607,0.0277522
96,3.69583,0.0277275
97,3.69576,0.0489382
98,3.69578,0.0275555
99,3.6959,0.0265167
100,3.69643,0.202139
101,3.69588,0.0512453
102,3.69587,0.0538487
103,3.69593,0.0519947
104,3.69599,0.0509385
105,3.69587,0.0500052
106,3.69616,0.0490707
107,3.69582,0.0518561
108,3.69619,0.0507962
109,3.69596,0.0278978
110,3.6963,0.0280101
111,3.69573,0.0273411
112,3.69623,0.0273072
113,3.69618,0.0279985
114,3.69621,0.0274714
115,3.69584,0.0275035
116,3.6959,0.0276195
117,3.69591,0.0280606
118,3.69578,0.0277629
119,3.69614,0.0282664
120,3.69595,0.0282447
121,3.69585,0.0278721
122,3.69596,0.0276458
123,3.6957,0.0278483
124,3.69579,0.0283273
125,3.69587,0.0281887
126,3.69582,0.0278128
127,3.69608,0.0277691
128,3.69588,0.0280756
129,3.69578,0.0279174
130,3.69629,0.201737
131,3.69587,0.0277256
132,3.69588,0.027339
133,3.6957,0.0271502
134,3.69629,0.0266268
135,3.69566,0.0273552
136,3.69624,0.027915
137,3.69578,0.0278868
138,3.69572,0.0271983
139,3.69616,0.0268098
140,3.69588,0.0277446
141,3.69578,0.0273925
142,3.69585,0.0276299
143,3.6958,0.0281689
144,3.69593,0.0267504
145,3.69576,0.0266024
146,3.69607,0.0271955
147,3.69573,0.0272766
148,3.69611,0.0266862
149,3.69582,0.0275213
150,3.69569,0.0579826
151,3.69618,0.0272334
152,3.69568,0.0278146
153,3.69593,0.0270129
154,3.69583,0.0265534
155,3.69613,0.0273218
156,3.6958,0.0266574
157,3.69587,0.0278884
158,3.69589,0.0270089
159,3.69585,0.0272209
160,3.69656,0.200666
161,3.6959,0.0528576
162,3.69596,0.0487452
163,3.69615,0.0710994
164,3.69645,0.108379
165,3.69575,0.0498268
166,3.69572,0.0485503
167,3.69577,0.0335226
168,3.69571,0.0266293
169,3.69615,0.0264072
170,3.69573,0.0278712
171,3.69582,0.0270585
172,3.69601,0.0274396
173,3.69582,0.0276241
174,3.69623,0.0277045
175,3.69581,0.0272258
176,3.6957,0.0268511
177,3.69583,0.0277219
178,3.69584,0.0268749
179,3.69582,0.0278761
180,3.69575,0.0268098
181,3.69584,0.0279813
182,3.69596,0.0267783
183,3.69615,0.0277174
184,3.69566,0.0274601
185,3.6957,0.0270768
186,3.69586,0.0272695
187,3.69573,0.0277232
188,3.69574,0.0273436
189,3.69593,0.0274157
190,3.69634,0.202537
191,3.69586,0.0280306
192,3.69569,0.0276868
193,3.69628,0.0273558
194,3.69613,0.0273381
195,3.69573,0.0275892
196,3.69587,0.0271499
197,3.69579,0.0275427
198,3.69585,0.0275889
199,3.69578,0.028037
200,3.6958,0.0280144
201,3.69595,0.0274931
202,3.69601,0.0270181
203,3.69591,0.0279553
204,3.69588,0.0267128
205,3.69571,0.0266219
206,3.69619,0.0300639
207,3.6959,0.027257
208,3.69584,0.0267669
209,3.69629,0.0273558
210,3.69575,0.0274008
211,3.69578,0.0281484
212,3.69624,0.0273445
213,3.69581,0.0275041
214,3.69586,0.0264246
215,3.69621,0.0277574
216,3.6958,0.0276186
217,3.69585,0.0268391
218,3.69607,0.0269649
219,3.69605,0.0279434
220,3.69638,0.202697
221,3.69581,0.0490973
222,3.69598,0.122877
223,3.69602,0.194449
224,3.69604,0.106042
225,3.69612,0.0820027
226,3.69602,0.0391587
227,3.69614,0.0334407
228,3.69583,0.0277908
229,3.69574,0.0279217
230,3.69582,0.0287195
231,3.69582,0.0283634
232,3.69596,0.0273882
233,3.69605,0.0274717
234,3.6962,0.0281502
235,3.69582,0.0278752
236,3.69579,0.0282453
237,3.69583,0.02842
238,3.69576,0.0276764
239,3.69584,0.0277556
240,3.69585,0.0283637
241,3.69586,0.028033
242,3.6959,0.0278651
243,3.69577,0.0305665
244,3.69573,0.0276932
245,3.69578,0.02784
246,3.69614,0.027127
247,3.69616,0.376647
248,3.69595,0.0279309
249,3.6964,0.201999
250,3.69625,0.200528
251,3.69597,0.0282089
252,3.69593,0.0269502
253,3.69585,0.0276825
254,3.6958,0.0272001
255,3.6958,0.0272399
256,3.69575,0.0275705
257,3.69582,0.0274546
258,3.69576,0.0275705
259,3.69575,0.0279443
260,3.69571,0.0275106
261,3.6961,0.0265865
262,3.6961,0.0283729
263,3.69567,0.0269141
264,3.69567,0.0270481
265,3.69589,0.0270695
266,3.69581,0.0270912
267,3.69584,0.027495
268,3.69584,0.0282126
269,3.69579,0.0278562
270,3.69591,0.028119
271,3.69588,0.0269902
272,3.69581,0.0267789
273,3.69581,0.027391
274,3.69606,0.0267042
275,3.69579,0.0279575
276,3.69579,0.0270545
277,3.69608,0.0284099
278,3.69587,0.0272056
279,3.69619,0.0270523
280,3.69613,0.215914
281,3.69601,0.111778
282,3.6961,0.10434
283,3.69596,0.0488474
284,3.69599,0.0477578
285,3.69592,0.142695
286,3.69593,0.0511
287,3.69601,0.108984
288,3.6959,0.0277024
289,3.6958,0.0272695
290,3.69573,0.0275045
291,3.69574,0.027498
292,3.69577,0.028141
293,3.69571,0.0274286
294,3.69611,0.0271508
295,3.69575,0.027595
296,3.69585,0.0274546
297,3.69604,0.0274427
298,3.69574,0.0278755
299,3.69582,0.0273111
