time,voltage,current
0,3.69607,0.0277017
1,3.69655,0.027375
2,3.696,0.0275359
3,3.69593,0.027353
4,3.69597,0.0276864
5,3.69652,0.0271074
6,3.69625,0.0279881
7,3.69626,0.0276901
8,3.69624,0.0266023
9,3.69615,0.0272891
10,3.69614,0.027015
11,3.69609,0.0270508
12,3.69613,0.0262123
13,3.69602,0.0268388
14,3.69609,0.0281961
15,3.69615,0.0271707
16,3.69664,0.0273093
17,3.69593,0.026844
18,3.69637,0.0268183
19,3.69623,0.0267975
20,3.69663,0.0273438
21,3.69623,0.0277332
22,3.69658,0.0274488
23,3.69624,0.0274433
24,3.69667,0.0265525
25,3.69638,0.0270551
26,3.6962,0.0304101
27,3.69658,0.0267519
28,3.69612,0.0269388
29,3.69621,0.027033
30,3.6962,0.0263723
31,3.69621,0.026171
32,3.69607,0.027412
33,3.69607,0.0266265
34,3.69666,0.026424
35,3.69612,0.0280336
36,3.69614,0.0275466
37,3.69611,0.0273582
38,3.69611,0.0263836
39,3.69597,0.0272597
40,3.69655,0.0267449
41,3.69608,0.0270355
42,3.69643,0.0278376
43,3.69617,0.0274757
44,3.696,0.0280052
45,3.69601,0.0288149
46,3.69622,0.0281226
47,3.69617,0.0278115
48,3.69657,0.0265109
49,3.69613,0.0271728
50,3.69652,0.0267513
51,3.69661,0.0269798
52,3.69617,0.0278354
53,3.69593,0.0274564
54,3.69631,0.02732
55,3.69619,0.0264638
56,3.69595,0.0272762
57,3.69611,0.0269119
58,3.69653,0.0261273
59,3.69626,0.0264745
60,3.69589,0.0277901
61,3.69613,0.0275442
62,3.69615,0.0264102
63,3.69661,0.0276714
64,3.6963,0.0271612
65,3.69604,0.0278348
66,3.696,0.0276246
67,3.6962,0.0269869
68,3.69629,0.0270343
69,3.69628,0.0272245
70,3.69638,0.0261594
71,3.69663,0.0274105
72,3.69624,0.0264886
73,3.69609,0.0280443
74,3.6965,0.0279409
75,3.69621,0.0274631
76,3.69615,0.0269609
77,3.69646,0.0268994
78,3.69655,0.0276225
79,3.69608,0.0273625
80,3.69612,0.0276072
81,3.69595,0.0278831
82,3.69646,0.0279042
83,3.69661,0.0282493
84,3.69599,0.0276739
85,3.69605,0.0279743
86,3.69598,0.0274546
87,3.69666,0.0274775
88,3.69608,0.0269217
89,3.69613,0.0264488
90,3.69609,0.0272585
91,3.69605,0.0269508
92,3.69601,0.0279526
93,3.69616,0.0280076
94,3.69591,0.0281425
95,3.69602,0.0273506
96,3.69611,0.0497512
97,3.69616,0.0274255
98,3.6965,0.0269841
99,3.69612,0.0264234
100,3.69652,0.0272322
101,3.69616,0.0268039
102,3.69639,0.0276476
103,3.69618,0.0275592
104,3.69629,0.0275148
105,3.69621,0.0275417
106,3.69653,0.0275552
107,3.6959,0.0273992
108,3.69616,0.0273077
109,3.69591,0.0263897
110,3.69601,0.0264402
111,3.69634,0.0274292
112,3.69606,0.0266709
113,3.69652,0.0274509
114,3.69643,0.0591967
115,3.6961,0.0265302
116,3.69627,0.0265874
117,3.69662,0.0278889
118,3.69613,0.0278287
119,3.69593,0.0276733
120,3.69603,0.0271511
121,3.69615,0.0272576
122,3.69611,0.0275629
123,3.69639,0.0265822
124,3.69613,0.0504432
125,3.69599,0.027398
126,3.6961,0.0262087
127,3.69654,0.0274613
128,3.69625,0.0274573
129,3.69596,0.0276173
130,3.69605,0.0278458
131,3.69628,0.0278684
132,3.69611,0.0280709
133,3.69622,0.026524
134,3.69649,0.0276739
135,3.69584,0.0266488
136,3.69614,0.0263998
137,3.69607,0.0273264
138,3.69606,0.0266011
139,3.69659,0.0273215
140,3.69615,0.027201
141,3.69649,0.0273136
142,3.69595,0.0270688
143,3.69608,0.0278189
144,3.69632,0.0269382
145,3.69657,0.0262729
146,3.69647,0.02671
147,3.69611,0.0362026
148,3.69614,0.0276497
149,3.69592,0.0268483
150,3.69643,0.0272949
151,3.69609,0.0277889
152,3.69613,0.0279449
153,3.69609,0.0279611
154,3.69626,0.0263365
155,3.69622,0.0267434
156,3.69618,0.027535
157,3.69609,0.0262891
158,3.69646,0.0261392
159,3.69597,0.026758
160,3.69601,0.0266443
161,3.69633,0.0272713
162,3.69606,0.0267431
163,3.69643,0.0263329
164,3.69633,0.0275488
165,3.69606,0.027305
166,3.6961,0.0315887
167,3.69613,0.0263849
168,3.69603,0.0262683
169,3.69597,0.0278403
170,3.69625,0.0263387
171,3.69616,0.0282493
172,3.69599,0.0286861
173,3.69598,0.0276042
174,3.69611,0.0270838
175,3.69597,0.045953
176,3.69616,0.0263056
177,3.69628,0.0276497
178,3.69608,0.027052
179,3.69604,0.0281765
180,3.69604,0.0264806
181,3.69602,0.028159
182,3.69614,0.0271468
183,3.69648,0.0268422
184,3.69651,0.0266865
185,3.69619,0.027011
186,3.69641,0.0275209
187,3.69617,0.0272132
188,3.69624,0.0263925
189,3.69614,0.0261472
190,3.6961,0.0271352
191,3.69616,0.0267733
192,3.69605,0.0279156
193,3.69623,0.0275243
194,3.6961,0.0288543
195,3.69596,0.0273389
196,3.69594,0.0269969
197,3.69652,0.0274047
198,3.69623,0.0270361
199,3.69618,0.0266329
200,3.69618,0.0274775
201,3.69606,0.0279391
202,3.69607,0.0271407
203,3.69627,0.0277605
204,3.69622,0.0275867
205,3.69608,0.0274442
206,3.6961,0.0275209
207,3.69616,0.0274494
208,3.69619,0.0267164
209,3.6967,0.0264968
210,3.6961,0.0279669
211,3.69595,0.0274298
212,3.69591,0.0281052
213,3.6962,0.0273533
214,3.69621,0.027952
215,3.69617,0.0262392
216,3.69622,0.0269639
217,3.69596,0.0457816
218,3.69671,0.0273087
219,3.69611,0.0274754
220,3.69594,0.026677
221,3.6961,0.0263472
222,3.69654,0.0265574
223,3.69605,0.0272175
224,3.696,0.0269449
225,3.69606,0.027427
226,3.69608,0.052742
227,3.69655,0.0270743
228,3.69655,0.0270823
229,3.69611,0.0276601
230,3.69603,0.0275151
231,3.69657,0.0268131
232,3.69623,0.0272157
233,3.69598,0.0273631
234,3.69625,0.0273824
235,3.69624,0.0273038
236,3.69621,0.0271303
237,3.69628,0.0277213
238,3.69604,0.0267027
239,3.69664,0.0271527
240,3.69601,0.0269407
241,3.69625,0.0273616
242,3.69667,0.0272817
243,3.69615,0.0270603
244,3.6959,0.0278834
245,3.69651,0.0451616
246,3.69667,0.0276335
247,3.69594,0.0280505
248,3.69619,0.0267137
249,3.69604,0.0271912
250,3.6961,0.0273478
251,3.6962,0.0275785
252,3.69639,0.0267535
253,3.69607,0.027747
254,3.69614,0.026903
255,3.69626,0.0278033
256,3.69618,0.0277137
257,3.69609,0.0267941
258,3.69622,0.0262646
259,3.69648,0.0276491
260,3.69607,0.0276684
261,3.69608,0.0270361
262,3.69649,0.0265815
263,3.69642,0.0271903
264,3.69648,0.0272328
265,3.69616,0.0273989
266,3.69599,0.0269352
267,3.69606,0.0275066
268,3.69653,0.0265953
269,3.69644,0.027814
270,3.69605,0.0266103
271,3.69598,0.0271857
272,3.69598,0.0272973
273,3.69616,0.0281964
274,3.69617,0.0275261
275,3.69621,0.0277259
276,3.69615,0.0267158
277,3.69655,0.0266415
278,3.69631,0.0262426
279,3.69651,0.0275904
280,3.69589,0.0274454
281,3.69629,0.0269933
282,3.69621,0.0276069
283,3.69598,0.0279819
284,3.69594,0.0269948
285,3.6961,0.0264803
286,3.6966,0.0271169
287,3.69608,0.0267357
288,3.69605,0.0277299
289,3.6961,0.0275405
290,3.69626,0.0280373
291,3.69617,0.0279614
292,3.69616,0.0276317
293,3.69616,0.0268541
294,3.69594,0.0273524
295,3.69599,0.027792
296,3.69621,0.0332207
297,3.69635,0.0271401
298,3.69658,0.0266543
299,3.69664,0.0272557
300,3.69656,0.0264393
301,3.69601,0.0279948
302,3.69592,0.0273836
303,3.69654,0.027532
304,3.69624,0.0263879
305,3.69599,0.0273261
306,3.69607,0.0274176
307,3.6959,0.0269605
308,3.69627,0.0279425
309,3.69663,0.0273922
310,3.69631,0.0268721
311,3.69616,0.0273282
312,3.69688,0.218367
313,3.69685,0.210672
314,3.69615,0.0276057
315,3.69642,0.0323471
316,3.69619,0.0268617
317,3.69624,0.0269021
318,3.69642,0.0274436
319,3.69633,0.0266782
320,3.6961,0.0278571
321,3.69617,0.0265075
322,3.69639,0.0274977
323,3.6961,0.0272952
324,3.69624,0.0276023
325,3.69604,0.0276904
326,3.69616,0.0272331
327,3.69587,0.0275167
328,3.69658,0.0271251
329,3.69683,0.0273044
330,3.69667,0.0263304
331,3.69632,0.0279174
332,3.69605,0.026833
333,3.69617,0.0275142
334,3.69622,0.0279997
335,3.69649,0.0268489
336,3.69663,0.027531
337,3.69607,0.027401
338,3.69621,0.0495536
339,3.69622,0.0273631
340,3.69605,0.0281077
341,3.69626,0.0274653
342,3.69594,0.0275662
343,3.69613,0.0276932
344,3.69611,0.0273646
345,3.69615,0.0269033
346,3.69597,0.0278207
347,3.69626,0.0280024
348,3.69621,0.0274301
349,3.69596,0.0273955
350,3.69602,0.0271952
351,3.69629,0.026328
352,3.69612,0.0271906
353,3.69613,0.0268128
354,3.69659,0.0261135
355,3.69608,0.027023
356,3.69625,0.0264601
357,3.69651,0.0279942
358,3.69608,0.027208
359,3.69654,0.0265828
360,3.69655,0.0272805
361,3.69653,0.0279012
362,3.69656,0.0273683
363,3.69617,0.0278694
364,3.69602,0.0272307
365,3.69623,0.0280792
366,3.69647,0.0266439
367,3.69624,0.0266687
368,3.6962,0.0277577
369,3.69603,0.0268599
370,3.69616,0.0271988
371,3.69611,0.0274965
372,3.69608,0.0268269
373,3.69667,0.0262784
374,3.69614,0.026944
375,3.69613,0.0271955
376,3.6962,0.0266167
377,3.69602,0.0270777
378,3.69617,0.0265623
379,3.69616,0.0272989
380,3.69606,0.0510232
381,3.69622,0.0274362
382,3.69617,0.0272689
