regime,stat,drain,start,end
nd,drop_overall,0,1448410148,1448420707
nd,time_active,22,1448410148,1448420707
nd,drop_overall,0,1448420707,1448426088
nd,time_active,25,1448420707,1448426088
nd,drop_overall,0,1448426088,1448432434
nd,time_active,27,1448426088,1448432434
noma100m,drop_overall,4,1448435670,1448463933
noma100m,time_active_overall,475,1448435670,1448463933
noha100m,drop_overall,0,1448465466,1448467522
noha100m,time_active_overall,7,1448465466,1448467522
noha100m,drop_overall,0,1448467522,1448469306
noha100m,time_active_overall,34,1448467522,1448469306
noha100m,drop_overall,1,1448469306,1448471434
noha100m,time_active_overall,69,1448469306,1448471434
noha100m,drop_overall,4,1448471434,1448473189
noha100m,time_active_overall,100,1448471434,1448473189
noha100m,drop_overall,6,1448473189,1448474715
noha100m,time_active_overall,126,1448473189,1448474715
noha100m,drop_overall,9,1448474715,1448476697
noha100m,time_active_overall,126,1448474715,1448476697
noha100m,drop_overall,11,1448476697,1448478300
noha100m,time_active_overall,163,1448476697,1448478300
noha100m,drop_overall,13,1448478300,1448480080
noha100m,time_active_overall,191,1448478300,1448480080
noha100m,drop_overall,16,1448480080,1448481884
noha100m,time_active_overall,222,1448480080,1448481884
noha100m,drop_overall,17,1448481884,1448483620
noha100m,time_active_overall,251,1448481884,1448483620
noha100m,drop_overall,20,1448483620,1448485631
noha100m,time_active_overall,285,1448483620,1448485631
noha100m,drop_overall,22,1448485631,1448487439
noha100m,time_active_overall,314,1448485631,1448487439
noha100m,drop_overall,24,1448487439,1448489095
noha100m,time_active_overall,342,1448487439,1448489095
noha100m,drop_overall,29,1448489095,1448492619
noha100m,time_active_overall,401,1448489095,1448492619
noha100m,drop_overall,34,1448492619,1448496468
noha100m,time_active_overall,465,1448492619,1448496468
noha100m,drop_overall,39,1448496468,1448499916
noha100m,time_active_overall,524,1448496468,1448499916
noha100m,drop_overall,41,1448499916,1448501714
noha100m,time_active_overall,553,1448499916,1448501714
noha100m,drop_overall,44,1448501714,1448503608
noha100m,time_active_overall,585,1448501714,1448503608
noha100m,drop_overall,49,1448503608,1448507149
noha100m,time_active_overall,645,1448503608,1448507149
noha100m,drop_overall,53,1448507149,1448510988
noha100m,time_active_overall,714,1448507149,1448510988
noha100m,drop_overall,98,1448510988,1448551926
noha100m,time_active_overall,1389,1448510988,1448551926
