,battery_level_pct,local_dt,metadata_write_ts,ts
96,12,2016-08-01 20:25:42.191,1470108342.19,1470108342.19
97,11,2016-08-01 20:26:32.211,1470108392.21,1470108392.21
98,9,2016-08-01 20:27:38.166,1470108458.17,1470108458.17
99,9,2016-08-01 20:27:38.196,1470108458.2,1470108458.2
100,8,2016-08-01 20:29:18.207,1470108558.21,1470108558.21
101,7,2016-08-01 20:30:10.859,1470108610.86,1470108610.86
102,6,2016-08-01 20:31:00.878,1470108660.88,1470108660.88
103,5,2016-08-01 20:31:50.906,1470108710.91,1470108710.91
104,4,2016-08-01 20:33:30.945,1470108810.94,1470108810.94
105,3,2016-08-01 20:34:32.622,1470108872.62,1470108872.62
106,2,2016-08-01 20:35:28.978,1470108928.98,1470108928.98
107,1,2016-08-01 20:36:18.998,1470108979.0,1470108979.0
108,0,2016-08-01 20:37:59.644,1470109079.64,1470109079.64
109,0,2016-08-01 20:38:00.000,1470109080.0,1470109080.0
